country,year,cancer_type,gender,incident_count,i_crude_rate,mortality_count,m_crude_rate
Australia,2004,THYROID,P,377,3.8,42,0.4
Australia,2005,THYROID,P,396,4.0,37,0.4
Australia,2006,THYROID,P,393,3.9,48,0.5
Australia,2007,THYROID,P,463,4.5,40,0.4
Australia,2008,THYROID,P,525,5.0,45,0.4
Australia,2009,THYROID,P,535,5.0,49,0.5
Australia,2010,THYROID,P,555,5.1,41,0.4
Australia,2011,THYROID,P,666,6.0,43,0.4
Australia,2012,THYROID,P,661,5.8,69,0.6
Australia,2013,THYROID,P,723,6.3,62,0.5
Australia,2014,THYROID,P,689,5.9,50,0.4
Australia,2015,THYROID,P,,,65,0.5
Australia,1968,THYROID,P,,,36,0.6
Australia,1969,THYROID,P,,,50,0.8
Australia,1970,THYROID,P,,,53,0.9
Australia,1971,THYROID,P,,,43,0.7
Australia,1972,THYROID,P,,,38,0.6
Australia,1973,THYROID,P,,,52,0.8
Australia,1974,THYROID,P,,,45,0.7
Australia,1975,THYROID,P,,,40,0.6
Australia,1976,THYROID,P,,,46,0.7
Australia,1977,THYROID,P,,,44,0.6
Australia,1978,THYROID,P,,,41,0.6
Australia,1979,THYROID,P,,,50,0.7
Australia,1980,THYROID,P,,,45,0.6
Australia,1981,THYROID,P,,,45,0.6
Australia,1982,THYROID,P,258,3.4,46,0.6
Australia,1983,THYROID,P,315,4.1,54,0.7
Australia,1984,THYROID,P,292,3.7,42,0.5
Australia,1985,THYROID,P,287,3.6,51,0.6
Australia,1986,THYROID,P,308,3.8,40,0.5
Australia,1987,THYROID,P,343,4.2,43,0.5
Australia,1988,THYROID,P,350,4.2,51,0.6
Australia,1989,THYROID,P,344,4.1,43,0.5
Australia,1990,THYROID,P,378,4.4,38,0.4
Australia,1991,THYROID,P,409,4.7,33,0.4
Australia,1992,THYROID,P,507,5.8,45,0.5
Australia,1993,THYROID,P,525,5.9,48,0.5
Australia,1994,THYROID,P,544,6.1,41,0.5
Australia,1995,THYROID,P,612,6.8,41,0.5
Australia,1996,THYROID,P,650,7.1,43,0.5
Australia,1997,THYROID,P,644,6.9,38,0.4
Australia,1998,THYROID,P,726,7.8,29,0.3
Australia,1999,THYROID,P,762,8.0,45,0.5
Australia,2000,THYROID,P,790,8.2,50,0.5
Australia,2001,THYROID,P,902,9.3,54,0.6
Australia,2002,THYROID,P,927,9.4,64,0.7
Australia,2003,THYROID,P,"1,056",10.6,44,0.4
Australia,2004,THYROID,P,"1,135",11.3,51,0.5
