station_number,state_code,state_name,country
31060,QLD,Queensland,Australia
31061,QLD,Queensland,Australia
31062,QLD,Queensland,Australia
31063,QLD,Queensland,Australia
31064,QLD,Queensland,Australia
31065,QLD,Queensland,Australia
31066,QLD,Queensland,Australia
31067,QLD,Queensland,Australia
31068,QLD,Queensland,Australia
31069,QLD,Queensland,Australia
31070,QLD,Queensland,Australia
31071,QLD,Queensland,Australia
31072,QLD,Queensland,Australia
31073,QLD,Queensland,Australia
31074,QLD,Queensland,Australia
31075,QLD,Queensland,Australia
31076,QLD,Queensland,Australia
31077,QLD,Queensland,Australia
31078,QLD,Queensland,Australia
31079,QLD,Queensland,Australia
31080,QLD,Queensland,Australia
31081,QLD,Queensland,Australia
31082,QLD,Queensland,Australia
31083,QLD,Queensland,Australia
31084,QLD,Queensland,Australia
31085,QLD,Queensland,Australia
31086,QLD,Queensland,Australia
31087,QLD,Queensland,Australia
31088,QLD,Queensland,Australia
31089,QLD,Queensland,Australia
31090,QLD,Queensland,Australia
31091,QLD,Queensland,Australia
31092,QLD,Queensland,Australia
31093,QLD,Queensland,Australia
31094,QLD,Queensland,Australia
31095,QLD,Queensland,Australia
31096,QLD,Queensland,Australia
31097,QLD,Queensland,Australia
31098,QLD,Queensland,Australia
31099,QLD,Queensland,Australia
31100,QLD,Queensland,Australia
31101,QLD,Queensland,Australia
31102,QLD,Queensland,Australia
31103,QLD,Queensland,Australia
31104,QLD,Queensland,Australia
31105,QLD,Queensland,Australia
31106,QLD,Queensland,Australia
31107,QLD,Queensland,Australia
31108,QLD,Queensland,Australia
31109,QLD,Queensland,Australia
31110,QLD,Queensland,Australia
31111,QLD,Queensland,Australia
31112,QLD,Queensland,Australia
31113,QLD,Queensland,Australia
31114,QLD,Queensland,Australia
31115,QLD,Queensland,Australia
31116,QLD,Queensland,Australia
31117,QLD,Queensland,Australia
31118,QLD,Queensland,Australia
31119,QLD,Queensland,Australia
31120,QLD,Queensland,Australia
31121,QLD,Queensland,Australia
31122,QLD,Queensland,Australia
31123,QLD,Queensland,Australia
31124,QLD,Queensland,Australia
31125,QLD,Queensland,Australia
31126,QLD,Queensland,Australia
31127,QLD,Queensland,Australia
31128,QLD,Queensland,Australia
31129,QLD,Queensland,Australia
31130,QLD,Queensland,Australia
31131,QLD,Queensland,Australia
31132,QLD,Queensland,Australia
31133,QLD,Queensland,Australia
31134,QLD,Queensland,Australia
31135,QLD,Queensland,Australia
31136,QLD,Queensland,Australia
31137,QLD,Queensland,Australia
31138,QLD,Queensland,Australia
31139,QLD,Queensland,Australia
31140,QLD,Queensland,Australia
31141,QLD,Queensland,Australia
31142,QLD,Queensland,Australia
31143,QLD,Queensland,Australia
31144,QLD,Queensland,Australia
31145,QLD,Queensland,Australia
31146,QLD,Queensland,Australia
31147,QLD,Queensland,Australia
31148,QLD,Queensland,Australia
31149,QLD,Queensland,Australia
31150,QLD,Queensland,Australia
31151,QLD,Queensland,Australia
31152,QLD,Queensland,Australia
31153,QLD,Queensland,Australia
31154,QLD,Queensland,Australia
31155,QLD,Queensland,Australia
31156,QLD,Queensland,Australia
31157,QLD,Queensland,Australia
31158,QLD,Queensland,Australia
31159,QLD,Queensland,Australia
31160,QLD,Queensland,Australia
31161,QLD,Queensland,Australia
31162,QLD,Queensland,Australia
31163,QLD,Queensland,Australia
31164,QLD,Queensland,Australia
31165,QLD,Queensland,Australia
31166,QLD,Queensland,Australia
31167,QLD,Queensland,Australia
31168,QLD,Queensland,Australia
31169,QLD,Queensland,Australia
31170,QLD,Queensland,Australia
31171,QLD,Queensland,Australia
31172,QLD,Queensland,Australia
31173,QLD,Queensland,Australia
31174,QLD,Queensland,Australia
31175,QLD,Queensland,Australia
31176,QLD,Queensland,Australia
31177,QLD,Queensland,Australia
31178,QLD,Queensland,Australia
31179,QLD,Queensland,Australia
31180,QLD,Queensland,Australia
31181,QLD,Queensland,Australia
31182,QLD,Queensland,Australia
31183,QLD,Queensland,Australia
31184,QLD,Queensland,Australia
31185,QLD,Queensland,Australia
31186,QLD,Queensland,Australia
31187,QLD,Queensland,Australia
31188,QLD,Queensland,Australia
31189,QLD,Queensland,Australia
31190,QLD,Queensland,Australia
31191,QLD,Queensland,Australia
31192,QLD,Queensland,Australia
31193,QLD,Queensland,Australia
31194,QLD,Queensland,Australia
31195,QLD,Queensland,Australia
31196,QLD,Queensland,Australia
31197,QLD,Queensland,Australia
31198,QLD,Queensland,Australia
31199,QLD,Queensland,Australia
31200,QLD,Queensland,Australia
31201,QLD,Queensland,Australia
31202,QLD,Queensland,Australia
31203,QLD,Queensland,Australia
31204,QLD,Queensland,Australia
31205,QLD,Queensland,Australia
31206,QLD,Queensland,Australia
31207,QLD,Queensland,Australia
31208,QLD,Queensland,Australia
31209,QLD,Queensland,Australia
31210,QLD,Queensland,Australia
31211,QLD,Queensland,Australia
31212,QLD,Queensland,Australia
31213,QLD,Queensland,Australia
31214,QLD,Queensland,Australia
31215,QLD,Queensland,Australia
31216,QLD,Queensland,Australia
31217,QLD,Queensland,Australia
31218,QLD,Queensland,Australia
31219,QLD,Queensland,Australia
31220,QLD,Queensland,Australia
31221,QLD,Queensland,Australia
31222,QLD,Queensland,Australia
31223,QLD,Queensland,Australia
32000,QLD,Queensland,Australia
32001,QLD,Queensland,Australia
32002,QLD,Queensland,Australia
32003,QLD,Queensland,Australia
32004,QLD,Queensland,Australia
32005,QLD,Queensland,Australia
32006,QLD,Queensland,Australia
32007,QLD,Queensland,Australia
32008,QLD,Queensland,Australia
32009,QLD,Queensland,Australia
32010,QLD,Queensland,Australia
32011,QLD,Queensland,Australia
32012,QLD,Queensland,Australia
32013,QLD,Queensland,Australia
32014,QLD,Queensland,Australia
32015,QLD,Queensland,Australia
32016,QLD,Queensland,Australia
32017,QLD,Queensland,Australia
32018,QLD,Queensland,Australia
32019,QLD,Queensland,Australia
32020,QLD,Queensland,Australia
32021,QLD,Queensland,Australia
32022,QLD,Queensland,Australia
32023,QLD,Queensland,Australia
32024,QLD,Queensland,Australia
32025,QLD,Queensland,Australia
32026,QLD,Queensland,Australia
32027,QLD,Queensland,Australia
32028,QLD,Queensland,Australia
32029,QLD,Queensland,Australia
32030,QLD,Queensland,Australia
32031,QLD,Queensland,Australia
32032,QLD,Queensland,Australia
32033,QLD,Queensland,Australia
32034,QLD,Queensland,Australia
32035,QLD,Queensland,Australia
32036,QLD,Queensland,Australia
32037,QLD,Queensland,Australia
32038,QLD,Queensland,Australia
32039,QLD,Queensland,Australia
32040,QLD,Queensland,Australia
32041,QLD,Queensland,Australia
32042,QLD,Queensland,Australia
32043,QLD,Queensland,Australia
32044,QLD,Queensland,Australia
32045,QLD,Queensland,Australia
32046,QLD,Queensland,Australia
32047,QLD,Queensland,Australia
32048,QLD,Queensland,Australia
32049,QLD,Queensland,Australia
32050,QLD,Queensland,Australia
32051,QLD,Queensland,Australia
32052,QLD,Queensland,Australia
32053,QLD,Queensland,Australia
32054,QLD,Queensland,Australia
32055,QLD,Queensland,Australia
32056,QLD,Queensland,Australia
32057,QLD,Queensland,Australia
32058,QLD,Queensland,Australia
32059,QLD,Queensland,Australia
32060,QLD,Queensland,Australia
32061,QLD,Queensland,Australia
32062,QLD,Queensland,Australia
32063,QLD,Queensland,Australia
32064,QLD,Queensland,Australia
32065,QLD,Queensland,Australia
32066,QLD,Queensland,Australia
32067,QLD,Queensland,Australia
32068,QLD,Queensland,Australia
32069,QLD,Queensland,Australia
32070,QLD,Queensland,Australia
32071,QLD,Queensland,Australia
32072,QLD,Queensland,Australia
32073,QLD,Queensland,Australia
32074,QLD,Queensland,Australia
32075,QLD,Queensland,Australia
32076,QLD,Queensland,Australia
32077,QLD,Queensland,Australia
32078,QLD,Queensland,Australia
32079,QLD,Queensland,Australia
32080,QLD,Queensland,Australia
32081,QLD,Queensland,Australia
32082,QLD,Queensland,Australia
32083,QLD,Queensland,Australia
32084,QLD,Queensland,Australia
32085,QLD,Queensland,Australia
32086,QLD,Queensland,Australia
32087,QLD,Queensland,Australia
32088,QLD,Queensland,Australia
32089,QLD,Queensland,Australia
32090,QLD,Queensland,Australia
32091,QLD,Queensland,Australia
32092,QLD,Queensland,Australia
32093,QLD,Queensland,Australia
32094,QLD,Queensland,Australia
32095,QLD,Queensland,Australia
32096,QLD,Queensland,Australia
32097,QLD,Queensland,Australia
32098,QLD,Queensland,Australia
32099,QLD,Queensland,Australia
32100,QLD,Queensland,Australia
32101,QLD,Queensland,Australia
32102,QLD,Queensland,Australia
32103,QLD,Queensland,Australia
32104,QLD,Queensland,Australia
32105,QLD,Queensland,Australia
32106,QLD,Queensland,Australia
32107,QLD,Queensland,Australia
32108,QLD,Queensland,Australia
32109,QLD,Queensland,Australia
32110,QLD,Queensland,Australia
32111,QLD,Queensland,Australia
32112,QLD,Queensland,Australia
32113,QLD,Queensland,Australia
32114,QLD,Queensland,Australia
32115,QLD,Queensland,Australia
32116,QLD,Queensland,Australia
32117,QLD,Queensland,Australia
32118,QLD,Queensland,Australia
32119,QLD,Queensland,Australia
32120,QLD,Queensland,Australia
32121,QLD,Queensland,Australia
32122,QLD,Queensland,Australia
32123,QLD,Queensland,Australia
32124,QLD,Queensland,Australia
32125,QLD,Queensland,Australia
32126,QLD,Queensland,Australia
32127,QLD,Queensland,Australia
32128,QLD,Queensland,Australia
32129,QLD,Queensland,Australia
32130,QLD,Queensland,Australia
32131,QLD,Queensland,Australia
32132,QLD,Queensland,Australia
32133,QLD,Queensland,Australia
32134,QLD,Queensland,Australia
32135,QLD,Queensland,Australia
32136,QLD,Queensland,Australia
32137,QLD,Queensland,Australia
32138,QLD,Queensland,Australia
32139,QLD,Queensland,Australia
32140,QLD,Queensland,Australia
32141,QLD,Queensland,Australia
32142,QLD,Queensland,Australia
32143,QLD,Queensland,Australia
32144,QLD,Queensland,Australia
32145,QLD,Queensland,Australia
32146,QLD,Queensland,Australia
32147,QLD,Queensland,Australia
32148,QLD,Queensland,Australia
32149,QLD,Queensland,Australia
32150,QLD,Queensland,Australia
32151,QLD,Queensland,Australia
32152,QLD,Queensland,Australia
32153,QLD,Queensland,Australia
32154,QLD,Queensland,Australia
32155,QLD,Queensland,Australia
32156,QLD,Queensland,Australia
32157,QLD,Queensland,Australia
32158,QLD,Queensland,Australia
32159,QLD,Queensland,Australia
32160,QLD,Queensland,Australia
32161,QLD,Queensland,Australia
32162,QLD,Queensland,Australia
32163,QLD,Queensland,Australia
32164,QLD,Queensland,Australia
32165,QLD,Queensland,Australia
32166,QLD,Queensland,Australia
32167,QLD,Queensland,Australia
32168,QLD,Queensland,Australia
32169,QLD,Queensland,Australia
32170,QLD,Queensland,Australia
32171,QLD,Queensland,Australia
32172,QLD,Queensland,Australia
32173,QLD,Queensland,Australia
32174,QLD,Queensland,Australia
32175,QLD,Queensland,Australia
32176,QLD,Queensland,Australia
32177,QLD,Queensland,Australia
32178,QLD,Queensland,Australia
32179,QLD,Queensland,Australia
32180,QLD,Queensland,Australia
32181,QLD,Queensland,Australia
32182,QLD,Queensland,Australia
32183,QLD,Queensland,Australia
32184,QLD,Queensland,Australia
32185,QLD,Queensland,Australia
32186,QLD,Queensland,Australia
32187,QLD,Queensland,Australia
32188,QLD,Queensland,Australia
32189,QLD,Queensland,Australia
32190,QLD,Queensland,Australia
32191,QLD,Queensland,Australia
32192,QLD,Queensland,Australia
32193,QLD,Queensland,Australia
33000,QLD,Queensland,Australia
33001,QLD,Queensland,Australia
33002,QLD,Queensland,Australia
33003,QLD,Queensland,Australia
33004,QLD,Queensland,Australia
33005,QLD,Queensland,Australia
33006,QLD,Queensland,Australia
33007,QLD,Queensland,Australia
33008,QLD,Queensland,Australia
33009,QLD,Queensland,Australia
33010,QLD,Queensland,Australia
33011,QLD,Queensland,Australia
33012,QLD,Queensland,Australia
33013,QLD,Queensland,Australia
33014,QLD,Queensland,Australia
33015,QLD,Queensland,Australia
33016,QLD,Queensland,Australia
33017,QLD,Queensland,Australia
33018,QLD,Queensland,Australia
33019,QLD,Queensland,Australia
33020,QLD,Queensland,Australia
33021,QLD,Queensland,Australia
33022,QLD,Queensland,Australia
33023,QLD,Queensland,Australia
33024,QLD,Queensland,Australia
33025,QLD,Queensland,Australia
33026,QLD,Queensland,Australia
33027,QLD,Queensland,Australia
33028,QLD,Queensland,Australia
33029,QLD,Queensland,Australia
33030,QLD,Queensland,Australia
33031,QLD,Queensland,Australia
33032,QLD,Queensland,Australia
33033,QLD,Queensland,Australia
33034,QLD,Queensland,Australia
33035,QLD,Queensland,Australia
33036,QLD,Queensland,Australia
33037,QLD,Queensland,Australia
33038,QLD,Queensland,Australia
33039,QLD,Queensland,Australia
33040,QLD,Queensland,Australia
33041,QLD,Queensland,Australia
33042,QLD,Queensland,Australia
33043,QLD,Queensland,Australia
33044,QLD,Queensland,Australia
33045,QLD,Queensland,Australia
33046,QLD,Queensland,Australia
33047,QLD,Queensland,Australia
33048,QLD,Queensland,Australia
33049,QLD,Queensland,Australia
33050,QLD,Queensland,Australia
33051,QLD,Queensland,Australia
33052,QLD,Queensland,Australia
33053,QLD,Queensland,Australia
33054,QLD,Queensland,Australia
33055,QLD,Queensland,Australia
33056,QLD,Queensland,Australia
33057,QLD,Queensland,Australia
33058,QLD,Queensland,Australia
33059,QLD,Queensland,Australia
33060,QLD,Queensland,Australia
33061,QLD,Queensland,Australia
33062,QLD,Queensland,Australia
33063,QLD,Queensland,Australia
33064,QLD,Queensland,Australia
33065,QLD,Queensland,Australia
33066,QLD,Queensland,Australia
33067,QLD,Queensland,Australia
33068,QLD,Queensland,Australia
33069,QLD,Queensland,Australia
33070,QLD,Queensland,Australia
33071,QLD,Queensland,Australia
33072,QLD,Queensland,Australia
33073,QLD,Queensland,Australia
33074,QLD,Queensland,Australia
33075,QLD,Queensland,Australia
33076,QLD,Queensland,Australia
33077,QLD,Queensland,Australia
33078,QLD,Queensland,Australia
33079,QLD,Queensland,Australia
33080,QLD,Queensland,Australia
33081,QLD,Queensland,Australia
33082,QLD,Queensland,Australia
33083,QLD,Queensland,Australia
33084,QLD,Queensland,Australia
33085,QLD,Queensland,Australia
33086,QLD,Queensland,Australia
33087,QLD,Queensland,Australia
33088,QLD,Queensland,Australia
33089,QLD,Queensland,Australia
33090,QLD,Queensland,Australia
33091,QLD,Queensland,Australia
33092,QLD,Queensland,Australia
33093,QLD,Queensland,Australia
33094,QLD,Queensland,Australia
33095,QLD,Queensland,Australia
33096,QLD,Queensland,Australia
33097,QLD,Queensland,Australia
33098,QLD,Queensland,Australia
33099,QLD,Queensland,Australia
33100,QLD,Queensland,Australia
33101,QLD,Queensland,Australia
33102,QLD,Queensland,Australia
33103,QLD,Queensland,Australia
33104,QLD,Queensland,Australia
33105,QLD,Queensland,Australia
33106,QLD,Queensland,Australia
33107,QLD,Queensland,Australia
33108,QLD,Queensland,Australia
33109,QLD,Queensland,Australia
33110,QLD,Queensland,Australia
33111,QLD,Queensland,Australia
33112,QLD,Queensland,Australia
33113,QLD,Queensland,Australia
33114,QLD,Queensland,Australia
33115,QLD,Queensland,Australia
33116,QLD,Queensland,Australia
33117,QLD,Queensland,Australia
33118,QLD,Queensland,Australia
33119,QLD,Queensland,Australia
33120,QLD,Queensland,Australia
33121,QLD,Queensland,Australia
33122,QLD,Queensland,Australia
33123,QLD,Queensland,Australia
33124,QLD,Queensland,Australia
33125,QLD,Queensland,Australia
33126,QLD,Queensland,Australia
33127,QLD,Queensland,Australia
33128,QLD,Queensland,Australia
33129,QLD,Queensland,Australia
33130,QLD,Queensland,Australia
33131,QLD,Queensland,Australia
33132,QLD,Queensland,Australia
33133,QLD,Queensland,Australia
33134,QLD,Queensland,Australia
33135,QLD,Queensland,Australia
33136,QLD,Queensland,Australia
33137,QLD,Queensland,Australia
33138,QLD,Queensland,Australia
33139,QLD,Queensland,Australia
33140,QLD,Queensland,Australia
33141,QLD,Queensland,Australia
33142,QLD,Queensland,Australia
33143,QLD,Queensland,Australia
33144,QLD,Queensland,Australia
33145,QLD,Queensland,Australia
33146,QLD,Queensland,Australia
33147,QLD,Queensland,Australia
33148,QLD,Queensland,Australia
33149,QLD,Queensland,Australia
33150,QLD,Queensland,Australia
33151,QLD,Queensland,Australia
33152,QLD,Queensland,Australia
33153,QLD,Queensland,Australia
33154,QLD,Queensland,Australia
33155,QLD,Queensland,Australia
33156,QLD,Queensland,Australia
33157,QLD,Queensland,Australia
33158,QLD,Queensland,Australia
33159,QLD,Queensland,Australia
33160,QLD,Queensland,Australia
33161,QLD,Queensland,Australia
33162,QLD,Queensland,Australia
33163,QLD,Queensland,Australia
33164,QLD,Queensland,Australia
33165,QLD,Queensland,Australia
33166,QLD,Queensland,Australia
33167,QLD,Queensland,Australia
33168,QLD,Queensland,Australia
33169,QLD,Queensland,Australia
33170,QLD,Queensland,Australia
33171,QLD,Queensland,Australia
33172,QLD,Queensland,Australia
33173,QLD,Queensland,Australia
33174,QLD,Queensland,Australia
33175,QLD,Queensland,Australia
33176,QLD,Queensland,Australia
33177,QLD,Queensland,Australia
33178,QLD,Queensland,Australia
33179,QLD,Queensland,Australia
33180,QLD,Queensland,Australia
33181,QLD,Queensland,Australia
33182,QLD,Queensland,Australia
33183,QLD,Queensland,Australia
33184,QLD,Queensland,Australia
33185,QLD,Queensland,Australia
33186,QLD,Queensland,Australia
33187,QLD,Queensland,Australia
33188,QLD,Queensland,Australia
33189,QLD,Queensland,Australia
33190,QLD,Queensland,Australia
33191,QLD,Queensland,Australia
33192,QLD,Queensland,Australia
33193,QLD,Queensland,Australia
33194,QLD,Queensland,Australia
33195,QLD,Queensland,Australia
33196,QLD,Queensland,Australia
33197,QLD,Queensland,Australia
33198,QLD,Queensland,Australia
33199,QLD,Queensland,Australia
33200,QLD,Queensland,Australia
33201,QLD,Queensland,Australia
33202,QLD,Queensland,Australia
33203,QLD,Queensland,Australia
33204,QLD,Queensland,Australia
33205,QLD,Queensland,Australia
33206,QLD,Queensland,Australia
33207,QLD,Queensland,Australia
33208,QLD,Queensland,Australia
33209,QLD,Queensland,Australia
33210,QLD,Queensland,Australia
33211,QLD,Queensland,Australia
33212,QLD,Queensland,Australia
33213,QLD,Queensland,Australia
33214,QLD,Queensland,Australia
33215,QLD,Queensland,Australia
33216,QLD,Queensland,Australia
33217,QLD,Queensland,Australia
33218,QLD,Queensland,Australia
33219,QLD,Queensland,Australia
33220,QLD,Queensland,Australia
33221,QLD,Queensland,Australia
33222,QLD,Queensland,Australia
33223,QLD,Queensland,Australia
33224,QLD,Queensland,Australia
33225,QLD,Queensland,Australia
33226,QLD,Queensland,Australia
33227,QLD,Queensland,Australia
33228,QLD,Queensland,Australia
33229,QLD,Queensland,Australia
33230,QLD,Queensland,Australia
33231,QLD,Queensland,Australia
33232,QLD,Queensland,Australia
33233,QLD,Queensland,Australia
33234,QLD,Queensland,Australia
33235,QLD,Queensland,Australia
33236,QLD,Queensland,Australia
33237,QLD,Queensland,Australia
33238,QLD,Queensland,Australia
33239,QLD,Queensland,Australia
33240,QLD,Queensland,Australia
33241,QLD,Queensland,Australia
33242,QLD,Queensland,Australia
33243,QLD,Queensland,Australia
33244,QLD,Queensland,Australia
33245,QLD,Queensland,Australia
33246,QLD,Queensland,Australia
33247,QLD,Queensland,Australia
33248,QLD,Queensland,Australia
33249,QLD,Queensland,Australia
33250,QLD,Queensland,Australia
33251,QLD,Queensland,Australia
33252,QLD,Queensland,Australia
33253,QLD,Queensland,Australia
33254,QLD,Queensland,Australia
33255,QLD,Queensland,Australia
33256,QLD,Queensland,Australia
33257,QLD,Queensland,Australia
33258,QLD,Queensland,Australia
33259,QLD,Queensland,Australia
33260,QLD,Queensland,Australia
33261,QLD,Queensland,Australia
33262,QLD,Queensland,Australia
33263,QLD,Queensland,Australia
33264,QLD,Queensland,Australia
33265,QLD,Queensland,Australia
33266,QLD,Queensland,Australia
33267,QLD,Queensland,Australia
33268,QLD,Queensland,Australia
33269,QLD,Queensland,Australia
33270,QLD,Queensland,Australia
33271,QLD,Queensland,Australia
33272,QLD,Queensland,Australia
33273,QLD,Queensland,Australia
33274,QLD,Queensland,Australia
33275,QLD,Queensland,Australia
33276,QLD,Queensland,Australia
33277,QLD,Queensland,Australia
33278,QLD,Queensland,Australia
33279,QLD,Queensland,Australia
33280,QLD,Queensland,Australia
33281,QLD,Queensland,Australia
33282,QLD,Queensland,Australia
33283,QLD,Queensland,Australia
33284,QLD,Queensland,Australia
33285,QLD,Queensland,Australia
33286,QLD,Queensland,Australia
33287,QLD,Queensland,Australia
33288,QLD,Queensland,Australia
33289,QLD,Queensland,Australia
33290,QLD,Queensland,Australia
33291,QLD,Queensland,Australia
33292,QLD,Queensland,Australia
33293,QLD,Queensland,Australia
33294,QLD,Queensland,Australia
33295,QLD,Queensland,Australia
33296,QLD,Queensland,Australia
33297,QLD,Queensland,Australia
33298,QLD,Queensland,Australia
33299,QLD,Queensland,Australia
33300,QLD,Queensland,Australia
33301,QLD,Queensland,Australia
33302,QLD,Queensland,Australia
33303,QLD,Queensland,Australia
33304,QLD,Queensland,Australia
33305,QLD,Queensland,Australia
33306,QLD,Queensland,Australia
33307,QLD,Queensland,Australia
33308,QLD,Queensland,Australia
33309,QLD,Queensland,Australia
33310,QLD,Queensland,Australia
33311,QLD,Queensland,Australia
33312,QLD,Queensland,Australia
33313,QLD,Queensland,Australia
33314,QLD,Queensland,Australia
33315,QLD,Queensland,Australia
33316,QLD,Queensland,Australia
33317,QLD,Queensland,Australia
33318,QLD,Queensland,Australia
33319,QLD,Queensland,Australia
33320,QLD,Queensland,Australia
33321,QLD,Queensland,Australia
33322,QLD,Queensland,Australia
33323,QLD,Queensland,Australia
33324,NSW,New South Wales,Australia
34000,QLD,Queensland,Australia
34001,QLD,Queensland,Australia
34002,QLD,Queensland,Australia
34003,QLD,Queensland,Australia
34004,QLD,Queensland,Australia
34005,QLD,Queensland,Australia
34006,QLD,Queensland,Australia
34007,QLD,Queensland,Australia
34008,QLD,Queensland,Australia
34009,QLD,Queensland,Australia
34010,QLD,Queensland,Australia
34011,QLD,Queensland,Australia
34012,QLD,Queensland,Australia
34013,QLD,Queensland,Australia
34014,QLD,Queensland,Australia
34015,QLD,Queensland,Australia
34016,QLD,Queensland,Australia
34017,QLD,Queensland,Australia
34018,QLD,Queensland,Australia
34019,QLD,Queensland,Australia
34020,QLD,Queensland,Australia
34021,QLD,Queensland,Australia
34022,QLD,Queensland,Australia
34023,QLD,Queensland,Australia
34024,QLD,Queensland,Australia
34025,QLD,Queensland,Australia
34026,QLD,Queensland,Australia
34027,QLD,Queensland,Australia
34028,QLD,Queensland,Australia
34029,QLD,Queensland,Australia
34030,QLD,Queensland,Australia
34031,QLD,Queensland,Australia
34032,QLD,Queensland,Australia
34033,QLD,Queensland,Australia
34034,QLD,Queensland,Australia
34035,QLD,Queensland,Australia
34036,QLD,Queensland,Australia
34037,QLD,Queensland,Australia
34038,QLD,Queensland,Australia
34039,QLD,Queensland,Australia
34040,QLD,Queensland,Australia
34041,QLD,Queensland,Australia
34042,QLD,Queensland,Australia
34043,QLD,Queensland,Australia
34044,QLD,Queensland,Australia
34045,QLD,Queensland,Australia
34046,QLD,Queensland,Australia
34047,QLD,Queensland,Australia
34049,QLD,Queensland,Australia
34050,QLD,Queensland,Australia
34051,QLD,Queensland,Australia
34053,QLD,Queensland,Australia
34054,QLD,Queensland,Australia
34055,QLD,Queensland,Australia
34056,QLD,Queensland,Australia
34057,QLD,Queensland,Australia
34058,QLD,Queensland,Australia
34059,QLD,Queensland,Australia
34060,QLD,Queensland,Australia
34061,QLD,Queensland,Australia
34062,QLD,Queensland,Australia
34063,QLD,Queensland,Australia
34064,QLD,Queensland,Australia
34065,QLD,Queensland,Australia
34067,QLD,Queensland,Australia
34068,QLD,Queensland,Australia
34069,QLD,Queensland,Australia
34070,QLD,Queensland,Australia
34071,QLD,Queensland,Australia
34072,QLD,Queensland,Australia
34073,QLD,Queensland,Australia
34074,QLD,Queensland,Australia
34075,QLD,Queensland,Australia
34076,QLD,Queensland,Australia
34077,QLD,Queensland,Australia
34078,QLD,Queensland,Australia
34079,QLD,Queensland,Australia
34080,QLD,Queensland,Australia
34081,QLD,Queensland,Australia
34082,QLD,Queensland,Australia
34083,QLD,Queensland,Australia
34084,QLD,Queensland,Australia
34085,QLD,Queensland,Australia
34086,QLD,Queensland,Australia
34087,QLD,Queensland,Australia
34088,QLD,Queensland,Australia
34089,QLD,Queensland,Australia
34090,QLD,Queensland,Australia
34091,QLD,Queensland,Australia
34092,QLD,Queensland,Australia
34093,QLD,Queensland,Australia
34094,QLD,Queensland,Australia
34095,QLD,Queensland,Australia
34096,QLD,Queensland,Australia
34097,QLD,Queensland,Australia
34098,QLD,Queensland,Australia
34099,QLD,Queensland,Australia
34100,QLD,Queensland,Australia
35000,QLD,Queensland,Australia
35001,QLD,Queensland,Australia
35002,QLD,Queensland,Australia
35003,QLD,Queensland,Australia
35004,QLD,Queensland,Australia
35005,QLD,Queensland,Australia
35006,QLD,Queensland,Australia
35007,QLD,Queensland,Australia
35008,QLD,Queensland,Australia
35009,QLD,Queensland,Australia
35010,QLD,Queensland,Australia
35011,QLD,Queensland,Australia
35012,QLD,Queensland,Australia
35013,QLD,Queensland,Australia
35014,QLD,Queensland,Australia
35015,QLD,Queensland,Australia
35016,QLD,Queensland,Australia
35017,QLD,Queensland,Australia
35018,QLD,Queensland,Australia
35019,QLD,Queensland,Australia
35020,QLD,Queensland,Australia
35021,QLD,Queensland,Australia
35022,QLD,Queensland,Australia
35023,QLD,Queensland,Australia
35024,QLD,Queensland,Australia
35025,QLD,Queensland,Australia
35026,QLD,Queensland,Australia
35027,QLD,Queensland,Australia
35028,QLD,Queensland,Australia
35029,QLD,Queensland,Australia
35030,QLD,Queensland,Australia
35031,QLD,Queensland,Australia
35032,QLD,Queensland,Australia
35033,QLD,Queensland,Australia
35034,QLD,Queensland,Australia
35035,QLD,Queensland,Australia
35036,QLD,Queensland,Australia
35037,QLD,Queensland,Australia
35038,QLD,Queensland,Australia
35039,QLD,Queensland,Australia
35040,QLD,Queensland,Australia
35041,QLD,Queensland,Australia
35042,QLD,Queensland,Australia
35043,QLD,Queensland,Australia
35044,QLD,Queensland,Australia
35045,QLD,Queensland,Australia
35046,QLD,Queensland,Australia
35047,QLD,Queensland,Australia
35048,QLD,Queensland,Australia
35049,QLD,Queensland,Australia
35050,QLD,Queensland,Australia
35051,QLD,Queensland,Australia
35052,QLD,Queensland,Australia
35053,QLD,Queensland,Australia
35054,QLD,Queensland,Australia
35055,QLD,Queensland,Australia
35056,QLD,Queensland,Australia
35057,QLD,Queensland,Australia
35058,QLD,Queensland,Australia
35059,QLD,Queensland,Australia
35060,QLD,Queensland,Australia
35061,QLD,Queensland,Australia
35062,QLD,Queensland,Australia
35063,QLD,Queensland,Australia
35064,QLD,Queensland,Australia
35065,QLD,Queensland,Australia
35066,QLD,Queensland,Australia
35067,QLD,Queensland,Australia
35068,QLD,Queensland,Australia
35069,QLD,Queensland,Australia
35070,QLD,Queensland,Australia
35071,QLD,Queensland,Australia
35072,QLD,Queensland,Australia
35073,QLD,Queensland,Australia
35074,QLD,Queensland,Australia
35075,QLD,Queensland,Australia
35076,QLD,Queensland,Australia
35077,QLD,Queensland,Australia
35078,QLD,Queensland,Australia
35079,QLD,Queensland,Australia
35080,QLD,Queensland,Australia
35081,QLD,Queensland,Australia
35082,QLD,Queensland,Australia
35083,QLD,Queensland,Australia
35084,QLD,Queensland,Australia
35085,QLD,Queensland,Australia
35086,QLD,Queensland,Australia
35087,QLD,Queensland,Australia
35088,QLD,Queensland,Australia
35089,QLD,Queensland,Australia
35090,QLD,Queensland,Australia
35091,QLD,Queensland,Australia
35092,QLD,Queensland,Australia
