,station_number,lat,long,station_name,country,year,tmean,tmax,tmin_x,tmin_y,tmin,rainfall
50,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1960,14.1,18.9,9.4,9.4,9.4,
51,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1961,15.6,20.4,10.8,10.8,10.8,
52,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1962,15.4,20.2,10.5,10.5,10.5,
53,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1963,15.5,20.2,10.7,10.7,10.7,
54,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1964,14.6,19.2,9.9,9.9,9.9,
55,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1965,15.3,20.1,10.4,10.4,10.4,
56,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1966,14.8,19.7,9.9,9.9,9.9,
57,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1967,15.3,20.0,10.5,10.5,10.5,
58,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1968,14.2,18.8,9.6,9.6,9.6,
59,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1969,15.2,20.2,10.1,10.1,10.1,
60,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1970,15.0,19.6,10.3,10.3,10.3,
61,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1971,14.5,18.9,10.1,10.1,10.1,
62,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1972,15.6,20.5,10.6,10.6,10.6,
63,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1973,14.8,19.1,10.4,10.4,10.4,
64,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1974,15.1,19.7,10.5,10.5,10.5,
65,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1975,15.1,19.7,10.5,10.5,10.5,
66,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1976,15.4,20.0,10.9,10.9,10.9,
67,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1977,15.3,20.0,10.5,10.5,10.5,
68,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1978,15.7,20.2,11.1,11.1,11.1,
69,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1979,15.0,19.4,10.6,10.6,10.6,
70,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1980,14.9,19.4,10.3,10.3,10.3,
71,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1981,14.8,19.5,10.0,10.0,10.0,
72,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1982,15.0,19.8,10.2,10.2,10.2,
73,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1983,15.8,20.6,11.0,11.0,11.0,
74,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1984,15.3,19.9,10.6,10.6,10.6,
75,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1985,15.3,19.7,10.8,10.8,10.8,
76,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1986,14.6,19.0,10.1,10.1,10.1,
77,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1987,15.0,19.8,10.2,10.2,10.2,
78,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1988,15.4,19.9,10.9,10.9,10.9,
79,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1989,15.3,19.9,10.7,10.7,10.7,
80,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1990,14.8,19.2,10.4,10.4,10.4,
81,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1991,15.5,20.1,10.9,10.9,10.9,
82,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1992,14.9,19.2,10.6,10.6,10.6,
83,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1993,14.4,18.9,10.0,10.0,10.0,
84,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1994,15.7,20.8,10.6,10.6,10.6,
85,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1995,15.3,19.9,10.7,10.7,10.7,
86,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1996,15.3,20.0,10.6,10.6,10.6,
87,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1997,15.5,20.2,10.8,10.8,10.8,
88,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1998,15.3,20.0,10.5,10.5,10.5,
89,9741,-34.94,117.8,ALBANY AIRPORT,Australia,1999,15.7,20.4,11.0,11.0,11.0,
90,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2000,15.6,20.5,10.8,10.8,10.8,
91,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2001,15.2,19.8,10.6,10.6,10.6,
92,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2002,15.4,20.2,10.6,10.6,10.6,
93,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2003,15.6,20.4,10.9,10.9,10.9,
94,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2004,15.4,20.2,10.5,10.5,10.5,
95,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2005,15.2,19.7,10.6,10.6,10.6,
96,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2006,15.4,20.4,10.3,10.3,10.3,
97,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2007,15.5,20.3,10.8,10.8,10.8,
98,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2008,15.3,19.9,10.6,10.6,10.6,
99,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2009,15.5,20.3,10.7,10.7,10.7,
100,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2010,15.4,20.5,10.4,10.4,10.4,
101,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2011,16.0,20.8,11.2,11.2,11.2,
102,9741,-34.94,117.8,ALBANY AIRPORT,Australia,2012,99999.9,99999.9,99999.9,99999.9,99999.9,
103,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1910,16.3,19.7,12.9,12.9,12.9,
104,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1911,16.1,19.5,12.8,12.8,12.8,
105,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1912,16.6,20.1,13.1,13.1,13.1,
106,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1913,16.5,20.0,13.1,13.1,13.1,
107,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1914,16.8,20.4,13.1,13.1,13.1,
108,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1915,17.0,20.4,13.5,13.5,13.5,
109,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1916,16.6,20.1,13.1,13.1,13.1,
110,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1917,15.7,19.0,12.4,12.4,12.4,
111,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1918,16.7,20.0,13.4,13.4,13.4,
112,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1919,16.2,19.6,12.8,12.8,12.8,
113,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1920,16.7,20.3,13.1,13.1,13.1,
114,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1921,17.0,20.3,13.6,13.6,13.6,
115,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1922,16.2,19.7,12.7,12.7,12.7,
116,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1923,16.3,19.6,13.0,13.0,13.0,
117,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1924,16.4,19.7,13.0,13.0,13.0,
118,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1925,16.5,19.9,13.0,13.0,13.0,
119,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1926,16.3,19.8,12.9,12.9,12.9,
120,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1927,16.4,19.7,13.0,13.0,13.0,
121,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1928,16.4,19.7,13.0,13.0,13.0,
122,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1929,15.9,19.2,12.5,12.5,12.5,
123,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1930,16.6,20.0,13.3,13.3,13.3,
124,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1931,16.3,19.7,12.8,12.8,12.8,
125,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1932,16.7,19.9,13.5,13.5,13.5,
126,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1933,17.0,20.5,13.6,13.6,13.6,
127,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1934,17.0,20.3,13.6,13.6,13.6,
128,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1935,16.3,19.6,12.9,12.9,12.9,
129,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1936,16.5,19.7,13.4,13.4,13.4,
130,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1937,16.8,20.3,13.4,13.4,13.4,
131,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1938,16.3,19.8,12.9,12.9,12.9,
132,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1939,16.6,20.0,13.3,13.3,13.3,
133,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1940,16.6,20.1,13.2,13.2,13.2,
134,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1941,16.5,19.9,13.2,13.2,13.2,
135,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1942,16.4,19.7,13.0,13.0,13.0,
136,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1943,16.1,19.5,12.8,12.8,12.8,
137,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1944,16.8,20.2,13.3,13.3,13.3,
138,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1945,16.8,20.2,13.4,13.4,13.4,
139,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1946,16.1,19.6,12.7,12.7,12.7,
140,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1947,16.5,19.7,13.2,13.2,13.2,
141,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1948,17.0,20.5,13.4,13.4,13.4,
142,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1949,17.3,21.1,13.4,13.4,13.4,
143,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1950,17.0,20.7,13.3,13.3,13.3,
144,9518,-34.37,115.13,CAPE LEEUWIN,Australia,1951,16.3,19.8,12.9,12.9,12.9,
