station_number,lat,long,station_name,year,rainfall
075050,-33.61,146.32,NARADHAN (URALBA),1999,629.2
075050,-33.61,146.32,NARADHAN (URALBA),2000,522.9
075050,-33.61,146.32,NARADHAN (URALBA),2001,314.4
075050,-33.61,146.32,NARADHAN (URALBA),2002,178.8
075050,-33.61,146.32,NARADHAN (URALBA),2003,451.7
075050,-33.61,146.32,NARADHAN (URALBA),2004,278.2
075050,-33.61,146.32,NARADHAN (URALBA),2005,394.2
075050,-33.61,146.32,NARADHAN (URALBA),2006,160.9
075050,-33.61,146.32,NARADHAN (URALBA),2007,389.1
075050,-33.61,146.32,NARADHAN (URALBA),2008,333.6
075050,-33.61,146.32,NARADHAN (URALBA),2009,316.5
075050,-33.61,146.32,NARADHAN (URALBA),2010,743.6
075050,-33.61,146.32,NARADHAN (URALBA),2011,623.2
075050,-33.61,146.32,NARADHAN (URALBA),2012,613.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1870,626.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1871,527.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1872,441.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1873,572.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1874,464.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1875,594.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1876,347.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1877,321.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1878,714.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1879,362.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1880,370.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1881,345.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1882,385.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1883,376.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1884,276.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1885,424.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1886,354.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1887,558.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1888,224.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1889,662.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1890,458.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1891,546.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1892,429.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1893,386.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1894,612.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1895,319.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1896,302.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1897,326.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1898,353.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1899,353.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1900,342.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1901,281.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1902,282.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1903,407.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1904,369.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1905,348.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1906,694.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1907,283.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1908,275.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1909,387.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1910,453.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1911,383.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1912,495.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1913,318.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1914,141.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1915,334.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1916,491.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1917,637.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1918,516.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1919,379.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1920,420.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1921,443.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1922,206.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1923,417.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1924,539.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1925,339.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1926,402.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1927,223.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1928,367.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1929,363.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1930,441.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1931,479.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1932,425.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1933,384.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1934,476.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1935,364.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1936,446.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1937,290.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1938,183.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1939,662.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1940,217.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1941,428.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1942,354.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1943,191.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1944,208.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1945,297.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1946,450.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1947,412.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1948,403.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1949,395.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1950,531.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1951,444.2
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1952,534.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1953,341.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1954,456.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1955,494.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1956,730.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1957,233.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1958,438.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1959,426.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1960,542.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1961,325.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1962,382.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1963,511.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1964,427.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1965,370.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1966,415.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1967,166.8
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1968,350.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1969,445.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1970,458.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1971,478.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1972,241.0
