station_number,lat,long,station_name,year,tmin
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1989,9.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1990,10.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1991,9.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1992,9.4
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1993,9.5
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1994,9.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1995,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1996,9.3
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1997,9.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1998,9.6
074128,-35.55,144.95,DENILIQUIN POST OFFICE,1999,10.0
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2000,10.1
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2001,9.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2002,9.7
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2003,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2004,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2005,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2006,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2007,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2008,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2009,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2010,99999.9
074128,-35.55,144.95,DENILIQUIN POST OFFICE,2011,99999.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1913,15.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1914,17.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1915,16.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1916,16.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,1917,14.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1918,14.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1919,16.2
036007,-23.55,145.29,BARCALDINE POST OFFICE,1920,17.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1921,16.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1922,14.6
036007,-23.55,145.29,BARCALDINE POST OFFICE,1923,15.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1924,15.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1925,15.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1926,16.7
036007,-23.55,145.29,BARCALDINE POST OFFICE,1927,15.7
036007,-23.55,145.29,BARCALDINE POST OFFICE,1928,15.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1929,15.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1930,15.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1931,16.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1932,15.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1933,15.9
036007,-23.55,145.29,BARCALDINE POST OFFICE,1934,15.3
036007,-23.55,145.29,BARCALDINE POST OFFICE,1935,15.5
036007,-23.55,145.29,BARCALDINE POST OFFICE,1936,15.7
036007,-23.55,145.29,BARCALDINE POST OFFICE,1937,15.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1938,16.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1939,15.7
036007,-23.55,145.29,BARCALDINE POST OFFICE,1940,15.7
036007,-23.55,145.29,BARCALDINE POST OFFICE,1941,14.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,1942,16.2
036007,-23.55,145.29,BARCALDINE POST OFFICE,1943,15.1
036007,-23.55,145.29,BARCALDINE POST OFFICE,1944,15.7
036007,-23.55,145.29,BARCALDINE POST OFFICE,1945,16.4
036007,-23.55,145.29,BARCALDINE POST OFFICE,1946,15.2
036007,-23.55,145.29,BARCALDINE POST OFFICE,1947,16.0
036007,-23.55,145.29,BARCALDINE POST OFFICE,1948,15.8
036007,-23.55,145.29,BARCALDINE POST OFFICE,1949,15.1
